Record_Type;VME_Type;VME_Group;VME_Indicator_Species;Latitude;Longitude
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.56583;21.54538
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.8042;21.3177
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-33.7492;26.6978
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-33.9257;26.4948
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2412;25.6342
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.3183;23.3112
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2625;23.0728
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.6312;22.7603
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.8747;15.191
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.6218;16.2842
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.61583;18.923
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.62922;16.26833
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-31.07537;16.08455
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.2792;16.37547
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.75245;15.27228
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-29.87483;15.4575
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.234;15.86017
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.3375;21.0035
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.6995;20.86767
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.60333;20.88
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.7935;21.204
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.314;23.5535
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.28633;24.9315
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.84933;22.52333
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.059;21.38433
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.996;19.571
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.9045;20.76283
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.925;20.70117
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.68433;21.28067
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.57467;20.6325
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.37067;21.0475
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.86483;21.22817
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.17617;21.82517
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.64017;22.9615
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.6805;22.51983
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.9965;22.06667
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-36.5718;21.11565
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.63325;21.54878
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.70075;23.10113
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.4152;23.17753
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-35.0777;23.50213
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2433;25.62268
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.23073;23.61283
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.26162;22.86038
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.2018;23.08458
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-34.15485;22.81037
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-30.88573265;16.56938362
VME_Indicator_Record;Phidoloporidae_VME_Indicator;Bryozoan_patches;Phidoloporidae_spp.;-33.892;26.6167
